date,open,high,low,close,volume,unadjusted,putthrough
2017-11-28,26.7465,26.7465,26.7465,26.7465,5000,35.8000,0
2017-11-29,29.3614,29.3614,29.3614,29.3614,193600,39.3000,9867000
2017-11-30,32.2751,32.2751,30.2579,30.9303,542500,41.4000,56000
2017-12-01,32.8728,32.8728,29.8843,30.9303,62300,41.4000,0
2017-12-04,30.9303,30.9303,29.8843,29.8844,139600,40.0000,26000
2017-12-05,29.6603,29.8844,29.1373,29.4361,49900,39.4000,100000
2017-12-06,29.8844,29.8844,28.8384,28.8384,57000,38.6000,0
2017-12-07,29.2120,29.2120,28.9131,29.1373,21300,39.0000,0
2017-12-08,29.1373,29.1373,28.3902,28.5396,100300,38.2000,0
2017-12-11,28.5396,28.7637,28.0166,28.6143,91400,38.3000,0
2017-12-12,28.3902,28.6143,27.6431,28.3901,101200,38.0000,0
2017-12-13,28.5395,28.5395,27.6430,28.2407,76900,37.8000,0
2017-12-14,28.2407,28.2407,27.4936,27.4936,115900,36.8000,0
2017-12-15,27.6430,27.6430,26.2982,26.2982,116400,35.2000,0
2017-12-18,26.2235,28.3901,26.1488,28.0166,198030,37.5000,417000
2017-12-19,28.0166,28.0913,27.4189,27.4189,203900,36.7000,0
2017-12-20,27.4936,27.5683,27.1201,27.5683,110200,36.9000,0
2017-12-21,28.3384,28.3384,27.4143,27.7216,181200,36.0000,0
2017-12-22,27.7216,27.8756,27.4906,27.8756,161500,36.2000,0
2017-12-25,27.8756,27.9526,27.1826,27.9526,187500,36.3000,0
2017-12-26,27.5676,27.7216,27.1056,27.7216,219400,36.0000,0
2017-12-27,27.3366,27.7216,27.2596,27.7216,96100,36.0000,0
2017-12-28,27.7216,27.7986,27.0286,27.7986,79000,36.1000,0
2017-12-29,27.7216,29.2617,26.9516,29.2617,216600,38.0000,0
2018-01-02,29.2617,29.2617,27.8756,27.8756,212200,36.2000,40000
2018-01-03,27.8756,27.8756,27.3366,27.7216,193330,36.0000,0
2018-01-04,27.7216,27.7216,27.4136,27.7216,259600,36.0000,0
2018-01-05,27.4906,27.7986,27.4906,27.7986,202700,36.1000,0
2018-01-08,27.7216,27.7986,27.5676,27.7986,237900,36.1000,0
2018-01-09,27.5676,27.7216,27.5676,27.5676,97200,35.8000,0
2018-01-10,27.6446,27.7216,27.5676,27.6446,132400,35.9000,0
2018-01-11,27.6446,27.7216,27.6446,27.7216,92900,36.0000,0
2018-01-12,27.6446,27.7216,27.6446,27.7216,123400,36.0000,0
2018-01-15,27.7216,28.3376,27.7216,28.1837,125130,36.6000,0
2018-01-16,28.1837,28.2607,27.9527,28.1837,69900,36.6000,0
2018-01-17,28.1837,28.6457,28.1837,28.4147,182800,36.9000,0
2018-01-18,28.4147,28.9537,28.4147,28.6457,87900,37.2000,0
2018-01-19,28.6457,29.1847,28.6457,29.0307,193700,37.7000,0
2018-01-22,29.0307,29.1847,28.8767,29.1077,138500,37.8000,0
2018-01-23,29.0307,29.1847,28.7997,29.1847,78400,37.9000,0
2018-01-24,29.1847,29.2617,29.0307,29.2617,73300,38.0000,0
2018-01-25,29.1847,29.4157,28.9537,29.4157,119800,38.2000,0
2018-01-26,29.4927,29.4927,28.8767,29.4157,80000,38.2000,20000
2018-01-29,29.2617,29.4157,28.8767,29.1847,145800,37.9000,0
2018-01-30,29.0307,29.0307,28.4147,28.4917,157800,37.0000,0
2018-01-31,29.1077,29.1847,28.3377,28.8767,96800,37.5000,200000
2018-02-01,29.1077,29.1847,28.7997,29.0307,78800,37.7000,0
2018-02-02,28.9537,29.0307,28.7227,29.0307,134400,37.7000,0
2018-02-05,28.8767,28.8767,27.9526,28.4917,59200,37.0000,0
2018-02-06,26.1816,28.4147,26.1816,27.5676,73300,35.8000,0
2018-02-07,27.4136,28.1066,27.3366,27.7986,143400,36.1000,0
2018-02-08,28.4916,28.4916,27.6446,27.8756,127200,36.2000,0
2018-02-09,26.9515,28.1066,26.9515,28.1067,141500,36.5000,0
2018-02-12,27.9527,28.8767,27.7217,28.4917,169600,37.0000,0
2018-02-13,28.4917,28.7997,27.5676,28.7997,172000,37.4000,5300
2018-02-21,28.9537,29.1077,28.7227,29.1077,203000,37.8000,0
2018-02-22,29.1077,29.1847,28.7997,28.8767,209100,37.5000,0
2018-02-23,28.8767,29.1077,28.4917,29.1077,204700,37.8000,0
2018-02-26,29.0307,29.5697,28.8767,29.2617,226600,38.0000,0
2018-02-27,29.1077,29.3387,28.8767,29.2617,233440,38.0000,0
2018-02-28,29.1077,29.2617,28.7997,29.2617,174300,38.0000,0
2018-03-01,29.1077,29.1847,28.8767,28.8767,180700,37.5000,0
2018-03-02,29.1847,29.1847,29.0307,29.1847,208630,37.9000,100000
2018-03-05,28.9537,29.2617,28.9537,29.1847,155500,37.9000,15000
2018-03-06,29.1077,29.2617,28.9537,29.1847,117000,37.9000,0
2018-03-07,29.1847,29.2617,28.9537,29.1077,144400,37.8000,0
2018-03-08,28.9537,29.1847,28.8767,29.1077,137409,37.8000,0
2018-03-09,29.1077,29.1847,28.7227,28.8767,123600,37.5000,0
2018-03-12,28.8767,28.8767,28.7227,28.8767,100700,37.5000,200000
2018-03-13,28.7997,28.8767,28.7227,28.8767,89000,37.5000,0
2018-03-14,28.7997,29.1077,28.5687,29.1077,82100,37.8000,0
2018-03-15,29.1847,29.2617,28.7997,29.1847,82300,37.9000,0
