date,open,high,low,close,volume,unadjusted,putthrough
2008-01-09,8.2719,8.7389,8.2719,8.2719,96510,124.0000,100000
2008-01-10,8.0718,8.2719,7.8716,7.8717,63590,118.0000,100000
2008-01-11,7.8717,8.2052,7.8717,8.0051,60040,120.0000,0
2008-01-14,7.8717,8.2052,7.6716,7.6715,28870,115.0000,0
2008-01-15,7.4714,7.4714,7.3380,7.3380,8710,110.0000,0
2008-01-16,7.3380,7.6715,7.3380,7.6715,24170,115.0000,0
2008-01-17,7.6715,7.7382,7.4047,7.5381,27040,113.0000,0
2008-01-18,7.6048,7.6715,7.5381,7.6715,18510,115.0000,0
2008-01-21,7.6715,7.6715,7.3380,7.3380,27850,110.0000,0
2008-01-22,7.0712,7.4714,7.0045,7.0044,30590,105.0000,0
2008-01-23,6.7376,6.7376,6.6709,6.6709,23670,100.0000,0
2008-01-24,6.6709,6.8043,6.3707,6.3707,41820,95.5000,0
2008-01-25,6.4708,6.6042,6.4041,6.4708,23710,97.0000,0
2008-01-28,6.7376,6.7376,6.6709,6.7376,42340,101.0000,0
2008-01-29,7.0711,7.0711,7.0711,7.0712,1170,106.0000,0
2008-01-30,7.4047,7.4047,7.4047,7.4047,260,111.0000,0
2008-01-31,7.7382,7.7382,7.7382,7.7382,22480,116.0000,0
2008-02-01,8.0717,8.0717,8.0717,8.0718,15470,121.0000,0
2008-02-12,8.4721,8.4721,8.4721,8.4720,8490,127.0000,0
2008-02-13,8.7388,8.7388,8.0717,8.4053,146090,126.0000,0
2008-02-14,8.7388,8.8056,8.7388,8.8056,76170,132.0000,0
2008-02-15,8.6722,9.2059,8.6722,9.2058,81380,138.0000,0
2008-02-18,8.8055,8.8055,8.8055,8.8056,22300,132.0000,0
2008-02-19,8.4053,8.6722,8.4053,8.4720,72820,127.0000,0
2008-02-20,8.4720,8.4720,8.0717,8.0718,53480,121.0000,0
2008-02-21,7.6715,7.6715,7.6715,7.6715,30660,115.0000,0
2008-02-22,7.3380,7.3380,7.3380,7.3380,62780,110.0000,0
