date,open,high,low,close,volume,unadjusted,putthrough
2005-11-02,3.4441,3.4441,3.4441,3.4441,2300,12.9000,0
2005-11-04,3.4174,3.4174,3.4174,3.4174,1000,12.8000,0
2005-11-07,3.4174,3.4174,3.4174,3.4174,1800,12.8000,0
2005-11-09,3.3907,3.3907,3.3907,3.3907,7500,12.7000,0
2005-11-18,3.3373,3.3373,3.3373,3.3373,5000,12.5000,0
2005-11-30,3.2038,3.2038,3.2038,3.2038,400,12.0000,0
2005-12-02,3.4441,3.4441,3.2038,3.2038,2700,12.0000,0
2005-12-05,3.2038,3.2038,3.1771,3.1771,12000,11.9000,0
2005-12-07,3.1771,3.1771,3.1771,3.1771,4700,11.9000,0
2005-12-09,3.1504,3.1504,3.1237,3.1504,7100,11.8000,0
2005-12-12,3.1504,3.1504,3.1504,3.1504,1700,11.8000,0
2005-12-14,3.1237,3.1237,3.1237,3.1237,5100,11.7000,0
2005-12-19,3.1237,3.1237,3.1237,3.1237,10000,11.7000,0
2005-12-23,3.1771,3.3640,3.1771,3.3640,900,12.6000,0
2005-12-26,3.2038,3.2038,3.2038,3.2038,1000,12.0000,0
2005-12-28,3.2839,3.2839,3.2038,3.2038,30000,12.0000,0
2005-12-30,3.2038,3.4174,3.2038,3.4174,48500,12.8000,0
2006-01-04,3.2038,3.2038,3.2038,3.2038,2000,12.0000,0
2006-01-06,3.2305,3.2305,3.2038,3.2038,1300,12.0000,0
2006-01-16,3.3373,3.3373,3.3373,3.3373,9000,12.5000,0
2006-01-18,3.3373,3.3640,3.3373,3.3373,2000,12.5000,0
2006-01-20,3.3373,3.3373,3.3373,3.3373,17000,12.5000,0
2006-01-25,3.3640,3.3640,3.3640,3.3640,10200,12.6000,0
2006-02-06,3.4174,3.4441,3.4174,3.4174,12100,12.8000,0
2006-02-08,3.4441,3.4708,3.4441,3.4441,24400,12.9000,0
2006-02-10,3.5242,3.5242,3.4708,3.4708,11700,13.0000,0
2006-02-15,3.5776,3.5776,3.5776,3.5776,1000,13.4000,0
2006-02-17,3.5776,3.5776,3.5776,3.5721,100,13.2000,0
2006-02-22,3.4097,3.4639,3.4097,3.4639,15400,12.8000,0
2006-02-24,3.5180,3.5180,3.4639,3.5180,15600,13.0000,0
2006-02-27,3.6533,3.6533,3.6533,3.6533,2000,13.5000,0
2006-03-01,3.7886,3.9239,3.7886,3.8698,15100,14.3000,0
2006-03-03,4.2487,4.2487,4.1134,4.2216,10500,15.6000,0
2006-03-06,4.3298,4.6275,4.3298,4.5463,32900,16.8000,0
2006-03-08,4.9793,4.9793,4.9793,4.9793,68500,18.4000,0
2006-03-10,5.4393,5.4393,5.0064,5.3311,72200,19.7000,0
2006-03-13,5.2770,5.4664,5.0875,5.1146,70600,18.9000,0
2006-03-15,5.3311,5.4123,5.2770,5.3311,55600,19.7000,0
2006-03-17,5.3311,5.4664,5.1146,5.3582,72400,19.8000,0
2006-03-20,5.4123,5.5476,5.3582,5.4123,64700,20.0000,0
2006-03-22,5.4664,5.6829,5.4123,5.6017,122800,20.7000,0
2006-03-24,5.6288,6.1429,5.6288,5.9806,95000,22.1000,0
2006-03-27,6.2783,6.5760,6.0888,6.2512,40600,23.1000,0
2006-03-29,6.8736,6.8736,5.6288,6.8736,132400,25.4000,0
2006-03-31,7.5501,7.5501,7.5501,7.5502,29900,27.9000,0
2006-04-03,8.2809,8.2809,7.5502,8.0102,176900,29.6000,0
2006-04-05,8.5785,8.7409,7.8478,8.0373,83100,29.7000,0
2006-04-07,8.2538,8.2538,7.5773,7.8749,47500,29.1000,0
2006-04-10,7.3066,7.3066,7.0901,7.1442,119000,26.4000,0
2006-04-12,7.1713,7.1713,6.4406,6.5489,230100,24.2000,0
2006-04-14,7.1172,7.1984,6.7654,7.1172,56400,26.3000,0
2006-04-17,7.8208,7.8208,7.8208,7.8208,235400,28.9000,0
2006-04-19,8.2538,8.5785,8.1185,8.2538,192800,30.5000,0
2006-04-21,8.9845,8.9845,8.1185,8.3350,282200,30.8000,0
2006-04-24,8.3891,8.6597,8.3891,8.4973,218700,31.4000,0
2006-04-26,9.2009,9.2821,8.7409,8.9574,278400,33.1000,0
2006-04-28,8.6597,9.8504,8.6597,9.1468,250000,33.8000,0
