date,open,high,low,close,volume,unadjusted,putthrough
2006-12-27,9.5360,9.5360,9.5360,9.5360,2000,47.0000,0
2006-12-28,10.0027,10.0027,10.0027,10.0027,35000,49.3000,0
2006-12-29,10.4491,10.4491,10.3476,10.4490,10080,51.5000,0
2007-01-02,10.9562,10.9562,10.9562,10.9563,3000,54.0000,0
2007-01-03,11.4635,11.4635,11.4635,11.4635,3000,56.5000,0
2007-01-04,11.9707,11.9707,11.9707,11.9707,6500,59.0000,0
2007-01-05,12.4779,12.4779,12.4779,12.4780,36200,61.5000,0
2007-01-08,13.0867,13.0867,13.0867,13.0867,49820,64.5000,0
2007-01-09,13.6954,13.6954,13.6954,13.6953,45920,67.5000,0
2007-01-10,13.9996,13.9996,13.9996,13.9997,43570,69.0000,0
2007-01-11,13.9997,13.9997,13.9997,13.9997,36200,69.0000,0
2007-01-12,13.9997,13.9997,13.9997,13.9997,26180,69.0000,0
2007-01-15,13.9997,13.9997,13.3910,13.8982,24380,68.5000,0
2007-01-16,13.7968,13.9996,13.7968,13.9997,32470,69.0000,0
2007-01-17,14.4055,14.4055,13.7968,14.4055,27790,71.0000,0
2007-01-18,14.4055,14.4055,14.4055,14.4055,30300,71.0000,0
2007-01-19,14.4055,14.4055,14.4055,14.4055,22890,71.0000,0
2007-01-22,14.4055,14.4055,13.6954,13.6953,35430,67.5000,0
2007-01-23,13.0866,13.1881,13.0866,13.1881,22400,65.0000,0
2007-01-24,12.8160,13.6429,12.8160,13.6428,14390,66.0000,0
2007-01-25,13.6428,13.6428,13.6428,13.6428,7570,66.0000,0
2007-01-26,13.8495,13.8495,13.8495,13.8495,1550,67.0000,0
2007-01-29,13.8495,13.8495,13.8495,13.8495,10,67.0000,0
2007-01-30,13.8495,13.8495,13.2294,13.2293,4150,64.0000,0
2007-01-31,13.8494,14.4695,13.2293,14.4696,20960,70.0000,0
2007-02-01,14.4696,14.4696,14.0562,14.2629,6870,69.0000,0
2007-02-02,14.0562,14.0562,14.0562,14.0562,1460,68.0000,0
2007-02-05,14.0562,14.0562,14.0562,14.0562,7500,68.0000,0
2007-02-06,13.4361,13.8495,13.4361,13.4360,7310,65.0000,0
2007-02-07,13.8494,13.8494,13.8494,13.8495,6500,67.0000,0
2007-02-08,13.8495,13.8495,13.2294,13.8495,5660,67.0000,0
2007-02-09,13.8495,13.8495,13.8495,13.8495,4600,67.0000,0
2007-02-12,13.8495,13.8495,13.7461,13.8495,26720,67.0000,0
2007-02-13,14.4696,14.4696,13.8495,14.4696,27130,70.0000,0
2007-02-14,14.2629,14.4696,14.2629,14.2629,6750,69.0000,0
2007-02-15,14.8830,14.8830,14.2629,14.8830,13190,72.0000,0
2007-02-26,15.6065,15.6065,15.6065,15.6065,11450,75.5000,0
2007-02-27,16.3300,16.3300,16.3300,16.3300,13340,79.0000,0
2007-02-28,16.7434,16.9501,16.3300,16.7434,11470,81.0000,0
2007-03-01,16.7434,16.7434,16.7434,16.7434,25150,81.0000,0
2007-03-02,16.7434,16.7434,15.9166,16.3300,23100,79.0000,0
2007-03-05,16.1233,16.1233,15.6065,16.1233,7000,78.0000,0
2007-03-06,15.7099,16.3300,15.7099,15.7098,11860,76.0000,0
2007-03-07,16.1232,16.1232,15.7098,15.7098,8680,76.0000,0
2007-03-08,16.1232,16.1232,15.7098,15.7098,21450,76.0000,0
2007-03-09,16.1232,16.1232,15.8132,16.1233,8790,78.0000,0
2007-03-12,16.4334,16.7434,16.4334,16.7434,11360,81.0000,0
2007-03-13,16.9501,17.5702,16.9501,16.9501,22040,82.0000,0
2007-03-14,16.9501,17.3635,16.9501,16.9501,13110,82.0000,0
2007-03-15,16.5367,16.5367,16.1233,16.1233,6230,78.0000,0
2007-03-16,15.3998,16.7434,15.3998,16.7434,19580,81.0000,0
2007-03-19,16.7434,16.7434,16.7434,16.7434,11180,81.0000,0
2007-03-20,16.5367,16.5367,16.1233,16.5367,10180,80.0000,0
2007-03-21,16.5367,16.5367,16.5367,16.5367,29390,80.0000,0
2007-03-22,16.1233,16.1233,15.7099,16.1233,11070,78.0000,0
2007-03-23,15.9166,15.9166,15.7099,15.7098,7300,76.0000,0
2007-03-26,15.0897,15.9165,15.0897,15.7098,13740,76.0000,0
2007-03-27,15.7098,15.7098,15.5031,15.5031,10560,75.0000,0
2007-03-28,15.0897,15.0897,14.8830,15.0897,3740,73.0000,0
2007-03-29,15.8132,15.8132,15.8132,15.8132,4400,76.5000,0
2007-03-30,15.8132,15.8132,15.8132,15.8132,3410,76.5000,0
2007-04-02,15.8132,15.8132,15.0897,15.0897,6250,73.0000,0
2007-04-03,14.3662,14.8830,14.3662,14.8830,4650,72.0000,0
2007-04-04,14.1595,14.8830,14.1595,14.8830,4410,72.0000,0
2007-04-05,14.8830,14.8830,14.6763,14.6763,2000,71.0000,0
2007-04-06,14.6763,14.6763,14.0562,14.0562,5540,68.0000,0
2007-04-09,14.1596,14.0562,13.6428,13.6428,2750,66.0000,0
2007-04-10,13.6428,14.1596,13.6428,14.1595,3350,68.5000,0
2007-04-11,13.5394,13.8494,13.5394,13.8495,1140,67.0000,0
2007-04-12,13.8495,13.8495,13.2294,13.2293,1640,64.0000,0
2007-04-13,13.2293,13.2293,13.2293,13.2293,200,64.0000,0
2007-04-16,13.2293,13.2293,13.2293,13.2293,400,64.0000,0
2007-04-17,13.2293,13.2293,13.2293,13.2293,1200,64.0000,0
2007-04-18,13.2293,13.2293,13.1259,13.2293,3550,64.0000,0
2007-04-19,13.2293,13.2293,13.2293,13.2293,4690,64.0000,0
2007-04-20,13.2293,13.2293,12.6092,12.6092,2060,61.0000,0
2007-04-23,11.9891,11.9891,11.9891,11.9891,6110,58.0000,0
2007-04-24,11.4723,11.5757,11.4723,11.5757,4470,56.0000,0
2007-04-25,12.0925,12.0925,12.0925,12.0924,3560,58.5000,0
2007-05-02,12.6092,12.6092,12.6092,12.6092,3720,61.0000,0
2007-05-03,12.6092,12.6092,12.6092,12.6092,840,61.0000,0
2007-05-04,12.6092,12.6092,12.6092,12.6092,3370,61.0000,0
2007-05-07,12.1958,12.6092,12.1958,12.6092,3900,61.0000,0
2007-05-08,12.4025,12.6092,12.4025,12.6092,1950,61.0000,0
2007-05-09,12.4025,13.2293,12.4025,12.6092,2260,61.0000,0
2007-05-10,12.4025,12.6092,11.9891,12.4025,1000,60.0000,0
2007-05-11,12.4025,12.4025,12.4025,12.4025,3100,60.0000,0
2007-05-14,12.4025,12.4025,12.2991,12.2992,5300,59.5000,0
2007-05-15,12.4026,12.8160,12.4026,12.8159,6930,62.0000,0
2007-05-16,12.1958,12.6092,12.1958,12.6092,2300,61.0000,0
2007-05-17,11.9891,12.6092,11.9891,12.6092,3520,61.0000,0
2007-05-18,12.6092,12.6092,12.6092,12.6092,2710,61.0000,0
2007-05-21,12.6092,12.8159,12.6092,12.8159,5450,62.0000,0
2007-05-22,13.0226,13.4360,13.0226,13.2293,12500,64.0000,0
2007-05-23,13.8494,13.8494,13.8494,13.8495,20830,67.0000,0
2007-05-24,13.4361,13.6428,13.2294,13.4360,2700,65.0000,0
2007-05-25,13.0226,13.0226,13.0226,13.0226,3890,63.0000,0
2007-05-28,13.4360,13.4360,13.2293,13.4360,5660,65.0000,0
2007-05-29,12.9192,13.2293,12.9192,13.2293,2950,64.0000,0
2007-05-30,13.2293,13.2293,12.6092,12.6092,4940,61.0000,0
2007-05-31,12.6092,13.0226,12.6092,13.0226,1990,63.0000,0
2007-06-01,12.4025,13.4360,12.4025,13.4360,25860,65.0000,0
2007-06-04,13.4360,13.6427,13.4360,13.6428,13000,66.0000,0
2007-06-05,13.6428,14.2629,13.6428,14.2629,11400,69.0000,0
2007-06-06,14.0562,14.0562,14.0562,14.0562,10400,68.0000,0
2007-06-07,13.8495,14.4696,13.5394,14.4696,10800,70.0000,0
2007-06-08,14.4696,14.4696,14.2629,14.2629,7000,69.0000,0
2007-06-11,14.0562,14.0562,13.6428,13.6428,4310,66.0000,0
2007-06-12,13.4361,13.6428,13.4361,13.6428,13190,66.0000,0
2007-06-13,13.3327,14.2629,13.3327,14.2629,22500,69.0000,0
2007-06-14,0.0000,14.1595,13.6428,14.1595,15000,68.5000,0
2007-06-15,14.1595,14.1595,14.1595,14.1595,10600,68.5000,0
2007-06-18,0.0000,13.8494,13.7461,13.8495,6000,67.0000,0
2007-06-19,13.8495,13.8495,13.8495,13.8495,12680,67.0000,0
2007-06-20,13.8495,14.0562,13.8495,14.0562,18250,68.0000,0
