date,open,high,low,close,volume,unadjusted,putthrough
2010-08-16,5.6642,5.6642,5.6642,5.6642,2500,17.0000,0
2010-08-17,5.6975,5.9974,5.6975,5.9974,9000,18.0000,0
2010-08-18,6.2973,6.2973,5.8308,5.8308,1500,17.5000,0
2010-08-19,5.8308,6.1307,5.8308,5.8308,1200,17.5000,0
2010-08-20,5.8641,5.8641,5.8641,5.8641,500,17.6000,0
2010-08-23,5.9974,5.9974,5.9974,5.9974,500,18.0000,0
2010-08-24,5.9974,6.3306,5.9974,6.3306,6000,19.0000,0
2010-08-25,5.6642,5.6642,5.6642,5.6642,100,17.0000,0
2010-08-26,5.1644,5.1644,5.1644,5.1644,100,15.5000,0
2010-08-27,4.7313,4.7313,4.7313,4.7313,100,14.2000,0
2010-08-30,4.2648,5.1311,4.2648,5.1311,1100,15.4000,0
2010-08-31,5.3310,5.3310,5.3310,5.3310,1000,16.0000,0
2010-09-01,5.1977,5.1977,5.1977,5.1978,100,15.6000,0
2010-09-07,5.6976,5.6976,5.6976,5.6975,2800,17.1000,0
2010-09-08,5.6975,5.6975,5.6975,5.6975,1000,17.1000,0
2010-09-09,6.2639,6.2639,6.2639,6.2640,200,18.8000,0
2010-09-10,6.8304,6.8304,6.8304,6.8304,8100,20.5000,0
2010-09-13,6.1640,6.1640,6.1640,6.1640,100,18.5000,0
2010-09-14,5.6309,6.1640,5.6309,6.1640,5100,18.5000,0
2010-09-15,5.5976,5.5976,5.5976,5.5976,100,16.8000,0
2010-09-16,6.1307,6.1307,6.1307,6.1307,3400,18.4000,0
2010-09-17,6.1307,6.1307,6.1307,6.1307,354800,18.4000,0
2010-09-21,6.6638,6.6638,6.6638,6.6638,100,20.0000,0
2010-09-22,6.0641,6.0641,6.0641,6.0640,100,18.2000,0
2010-09-23,5.4643,6.6637,5.4643,6.6638,300,20.0000,0
2010-09-24,5.5310,5.5310,5.5310,5.5309,100,16.6000,0
2010-09-27,5.0644,5.0644,5.0644,5.0645,100,15.2000,0
2010-09-28,5.5643,5.5643,5.5643,5.5643,25100,16.7000,0
2010-09-29,5.5643,5.5643,5.5643,5.5643,84980,16.7000,0
2010-09-30,5.9974,5.9974,5.9974,5.9974,2000,18.0000,0
2010-10-01,6.4639,6.4639,5.3977,5.3977,4200,16.2000,0
2010-10-04,5.9308,5.9308,5.9308,5.9308,100,17.8000,0
2010-10-07,5.9308,5.9308,5.3644,5.3644,32300,16.1000,0
2010-10-08,5.8975,5.8975,5.4977,5.6642,14100,17.0000,0
2010-10-12,5.3310,5.3310,5.3310,5.3310,6000,16.0000,0
2010-10-13,5.3310,5.3310,5.3310,5.3310,1000,16.0000,0
2010-10-18,5.3310,5.3310,5.3310,5.3310,7100,16.0000,0
2010-10-20,5.1977,5.1977,5.1644,5.1644,3000,15.5000,0
2010-10-21,5.1644,5.5975,5.1644,5.1644,4500,15.5000,0
2010-10-26,5.3311,5.3311,5.3311,5.3310,2700,16.0000,0
2010-11-01,5.1977,5.1977,5.1977,5.1978,300,15.6000,0
2010-11-03,5.3311,5.3311,5.2311,5.2311,2800,15.7000,0
2010-11-04,5.1978,5.1978,5.1645,5.1644,4000,15.5000,0
2010-11-10,5.1645,5.1645,5.1645,5.1644,1000,15.5000,0
2010-11-12,5.3425,5.3425,5.1644,5.1646,2000,14.5000,0
2010-11-17,5.7345,5.7345,5.7345,5.7345,100,16.1000,0
2010-11-18,6.3044,6.3044,6.3044,6.3044,100,17.7000,0
