date,AAA,ABS,ACB,ACL,ADS,AGG,AGR,AMD,ANV,APC,APG,APH,ASM,AST,BCE,BCG,BCM,BFC,BHN,BIC,BID,BMI,BMP,BSI,BTP,BVH,BWE,C32,CCL,CHP,CIG,CII,CKG,CLL,CMG,CMX,COM,CRC,CRE,CTD,CTG,CTI,CTS,D2D,DAG,DAH,DBC,DBD,DCL,DCM,DGC,DGW,DHA,DHC,DHG,DIG,DLG,DMC,DPG,DPM,DPR,DQC,DRC,DRH,DSN,DTA,DVP,DXG,E1VFVN30,EIB,ELC,EVE,FCM,FCN,FIR,FIT,FLC,FMC,FPT,FRT,FTM,FTS,FUESSV30,FUESSVFL,FUEVFVND,GAS,GEG,GEX,GIL,GMC,GMD,GTN,GVR,HAG,HAH,HAI,HAP,HAR,HAX,HBC,HCM,HDB,HDC,HDG,HHS,HII,HNG,HPG,HQC,HSG,HSL,HT1,HTN,HUB,HVN,ICT,IDI,IJC,ILB,ITA,JVC,KBC,KDC,KDH,KMR,KOS,KSB,LCG,LDG,LHG,LIX,LPB,LSS,MBB,MHC,MSB,MSH,MSN,MWG,NAF,NBB,NCT,NKG,NLG,NNC,NT2,NTL,NVL,OGC,PAN,PC1,PDR,PET,PGC,PGI,PHR,PLP,PLX,PME,PNJ,POM,POW,PPC,PTB,PVD,PVT,PXI,QCG,RAL,REE,ROS,SAB,SAM,SBA,SBT,SCR,SCS,SGN,SGR,SHA,SHI,SJD,SJF,SKG,SPM,SSI,STB,STG,STK,SZC,SZL,TAC,TCB,TCH,TCL,TCM,TCT,TDC,TDG,TDH,TDM,TDP,TLD,TLG,TLH,TNA,TNI,TNT,TPB,TSC,TTA,TTB,TTF,TV2,TVB,UDC,VAF,VCB,VCG,VCI,VDS,VGC,VHC,VHM,VIB,VIC,VIP,VIS,VIX,VJC,VND,VNM,VOS,VPB,VPG,VRC,VRE,VSC,VSH,YEG
2021-01-22,-23495,-2990,-257805,-1390,-1210,-80130,-26695,-2866,-8920,-5200,-2220,-6620,-28800,-24880,-4960,-12240,-10300,-5160,-8000,-2230,3174530,-35100,-24720,-7645,-1460,-124470,-9000,-2630,-1070,-1900,-380,-18520,-17380,-3000,-45540,-13745,-4380,-5030,-4960,834420,32495670,-1615,-9930,-137470,-3112,-2340,-76280,-9600,-3205,-23100,13721640,-31400,-10040,-20130,-41740,-62323835,-896,-35400,-12320,-39200,-9720,-3720,-12955,-10020,-4850,-1406,-9820,-5895,-3073025,4532380,-5675,-1400,-673,-10405,-2890,-6360,188379,-53120,23794960,-26800,-424,-9050,-44303,-710468,-13434836,699080,11610,-34255,-18960,-9930,2804405,-46380,-34650,-18559,-18600,-1400,-1470,-1773,-8200,-30330,4058250,13813400,-28695,-43830,-7818,-2100,-13005,-27015065,-2065,-87510,-3720,-17700,-23600,-10280,-1686825,-2610,-5096,-4080935,-5200,-26782,-3390,-80845,-30590,6627835,-636,-2440,-25650,-19370,49591,-11130,-10640,-141125,-2380,49141390,-886,-59040,-33350,4311250,-13189590,-8600,-2400,146970,-31525,1689805,-3820,-16800,-13980,2737220,-3360,-6340,-453330,-5450,-35620,-3700,-1990,592960,-3600,-1297130,-7350,5787030,-5640,665150,-14400,-20140,-55095,-49000,-386,-1740,-15600,4889590,-42997,407690,-2480,-3180,612155,-9268,268830,-6900,-2200,-1004,-983,-1730,-1196,-1220,-1265,-8825300,55621820,-1680,-2480,-28140,-5450,-14810,10851060,341565,-32395,-46920,-3120,-7060,-1107,-18865,-24120,-2515,-4532,49100,-3152,-14300,-1920,-300,2181280,-900,-1620,-9160,-7904,-11100,-14840,-740,-940,30489670,-14440,-42910,-1395,-9225,-95385,-285140,-71610,4438520,-4460,-1780,-2750,1711360,-51120,7806600,-1792,36682045,-2015,-1210,1559180,-18230,-1820,-4080
2021-01-25,,,,,,,,,442000,,,,,,,,,,,,215235,,,,,1290000,,,,,,230000,,,,,,,,2154750,6882935,,,,,,,,,-3483980,,,,,,-101041670,,,,,,,-3336000,,,,,,9278446,319570,,,,-134350,,,,,-7010400,,,,-305428,-845548,-3312256,271580,,-3050,,,5915645,,,,,,,,,,-124800,-865160,,,,,,-163545330,,13386460,,,,,1457500,,,-2595785,,,,-9045100,,9766545,,,,,-91390,,,,,16217290,,,,2999710,28315000,,,,,3718150,,,,2877550,-156000,,,,,,,,,8406480,,9046850,,230800,,,,,,,,18071460,-2285,308280,,,187350,5680000,-452100,,,,,,,23700,,428320,-13022560,,,,,,-41016840,167440,,,,,,,,,,,,,,,4527745,,,,-157000,,,,,-367280,,,,,529200,-2731120,,-1471520,,,,-2724720,,-1671970,,11630035,,,5958620,,,
2021-01-26,,,-1431405,,,,-1160,,862000,,,,-2020,,,,,,,,221900,-2027970,,-4464000,,-6330,-4372405,,,,,,,,,,,,,1847090,3218455,,,,,,,,,4339180,,-7680,,,,-1157520,,,,544180,,,,,,,,-22914270,11218329,-857105,,,,-20175,,,,,13747390,,,,-303163,-768697,-7153826,-552460,,153520,,,1753805,-4512870,-10250245,,,,,,,-3720,123400,-5107820,-4020,437050,-687,,,27556215,,-2635,,,,,1430000,,,-2669550,,-778,,-4320,,6862380,,,-3090,,-128200,,,,,11509275,,-1830,,214420,37136030,,,,,3070505,,,,-1834350,,,,-5630,,,,-3715900,,16351740,,7822800,,-479375,-2750,,-2050,-3730,,,,4600340,-83107,-1234240,-1455,,8105405,,1349500,,,,,,,,,-1437065,-71358265,,,238440,,,-9822010,155695,,,,,,,,,,40400,,,,,3910100,,,,,,,,,-4461260,,,,23520200,,-11541520,,-5852980,,,,-4365810,-26800,-9688790,,-46976400,,,270685,,,
2021-01-27,-1430,,-558780,-2665,,-14480,-2140,-647,395000,,,,-6090,-5970,,,-5790,3527950,,-2220,620075,,-560600,-19983740,,-11840,837070,,-1060,,,-1955030,,,-7000,-4770,-4405,-1860,-2470,2542230,2374790,-1510,,-33300,-700,-412,-20940,,-2660,5814740,157440,,,1541640,,8645880,-362,-5780,,340270,,-3520,-732075,-1020,,,-4585,-31002000,12901007,-90665,,,,-2580,,,-2676,-3190,17461930,-9090,,-1715,,-418304,-3144760,-12770,-1860,34080,-10100,,1703970,-4930,-8640,-1623,-1740,-647,-652,,,-3700,2772100,1714585,,-6455195,-1242,,,-175546725,-500,6004910,,,,,802775,,-1341,-2551160,-2470,-2208,-501,-2003540,-85200,-497920,,,-5840,-1440,36480,-3400,,-22000,,-176852755,,-5370,,307490,34674370,,,,-3400,693750,-3750,,-2660,49740,-717,,-2310,,,,,4250740,-1020,5195440,,-639350,,-34995,2464530,,-1905,-36330,,,-17410,2353400,-15943,-19630,,,-153335,,1338000,,,-480,,,-271,,,-209450,-9168545,,,418510,,,-40817590,134180,-5650,-8240,,,,,-2660,,-1260,,,,-358,,434550,-375,,-5168,-1074,,-1235,,,2191740,,-10900,,33979470,-16520,-52419530,-10080,4917580,,,-2400,1876330,-7515,-5571760,,-24718570,,,-160580,-5730,-1890,
2021-01-28,-6550,-2950,5282405,,,,,-616,,,-860,,,,,,,,,,-249430,489000,,,,,260500,,,,,100340,-1440,,,,,,,84200,-2226910,-1430,,,,,,,,1860000,4625440,,,1160000,,2685000,,,,-1565,,,-909780,,,,,,3334754,-336775,,,,,,,-8020,,48102540,,-340,,-3943,,-15580548,-418680,,1477300,,,524655,,,-482,,,,,,-17600,3984605,-2818355,2849500,29529925,,,-1135,55132275,,-10937500,,-800000,-4380,,914505,,,,,,,,,430820,,,,,22320,,,-1275,,25525545,,-8100,-4160,-6209440,30874810,,-4660,1014000,,152510,,,-4880,-62854940,,,,,,,,584000,,13794615,,1831080,,14969625,7807290,,,-1555,,,,1158015,2290,-856940,,,1620,,612000,,,,,,,,,13596520,8701520,,,-8100,,,42331895,73540,,-7910,,,,,,,,,,,,,6013290,,,,,,,-698,,-3796940,,,,6038195,283940,-4045550,-15650,-7094320,,,,-3931060,4520000,-9111040,,8870885,,,-201915,,,
2021-01-29,-17990,,10275145,,-1300,,,,-3610,,,,-18840,1046400,-2010,-2420,,,,,-393950,,,,,-22200,270000,-4760,,,,-11940,,,-6350,,,,,9888890,6715985,,-2460,-10060,,-1504,-75260,-9360,,3485100,7970040,-13580,,-11920,,7474405,-644,-5400,,-9180,,,790335,,,,-8560,-10454230,557362,-2126045,,,,-24120,,,-1238,-5690,21542790,-5080,,-2960,,-27851,-5981396,-4566710,-32000,-28940,-4360,,14527740,,-2445,,,,,,,,-5369500,-5610,710895,10049255,,,,-19681500,,1367640,,,,,-26375,,,5723950,,,,30328435,,14736800,,,,,-21870,,,,,29583440,,,,5560830,95562120,,,600360,,12280545,,-4620,,-1539430,,,,10739140,,,,-584000,,-3156375,,27284190,,-261930,127105,,141420,-62800,,,,7520285,22400,-1429570,,,4918515,,-662520,,,,,,-1150,,,-957605,4400170,,-5170,-4155,-5180,,18081025,-335825,,,,,-620,,-7350,,,,,,,,7220145,,,,,,,,,-2748280,-8940,,,,,6002390,,-3485730,,,-6600,-2050250,,24724780,,3955515,,,4457635,,,
2021-02-01,-1280,,-2710,,,,,,,,,,,1114850,,,,,,,-787800,-1341345,,-9012090,,1482140,1360500,,,,,,,,,,,,,2852160,-4289785,-1430,,,,,107880,,,237500,6654315,,,,,1343850,,,,465000,,,1033050,,,,,-5775,18650276,-2829390,,,,-17560,,,-631,,-11727290,,,,-5518,-380498,-37535886,-1077660,-32600,-49625,,,-33543100,-586800,,-468,,,,,,-3240,-53000,-6162275,,3888290,,,,-11560180,,3006785,,,,,755430,,,11927740,,-1218,,109623760,,1343170,,,,,19837,,,,,-62069925,,,,-1169970,-3707660,,,,,2331200,,,,-3663810,,,,2186530,,,,-5710,,4033530,,2818560,,-20661070,1286580,628000,-3480,-3120,,,,-108200,,-2612300,,,-1936355,,,,,,,,,,,2469035,-6025995,,,-234955,,,-7336485,-593270,,,,,,,,,,,,,,,6776720,,,,,,,,,18649450,,,,,-7560,-33927600,,-9501280,,,,-7022590,2276480,-24310650,,-1101410,,-903,-1330065,,,
2021-02-02,,,28615470,,,,,,786780,,,,,536030,,,,,,,1235300,,,,,1268750,270000,,,,,,,,,,,,,2755730,19190305,,-1135,,,,,,,1832510,,,,383040,,-1405165,,,,1414500,,,,,,,,2782500,1606200,-354480,,,,-38850,,,,,39818750,,,,,-22206,-244416,1711230,-31600,-116990,,,8067515,,6624195,,,,,,,,1490670,13945405,,20249050,,,,24635475,,,,,,,-6680,,-515,2090525,,,,-3230,-3920,21638275,,,,-1175,-20250,,,-1180,,42990335,,,,16498660,38028120,,,,-1390,5543395,,,,7349840,,,-6100000,2053530,,,,,,3429445,,18465800,,2225060,,,173000,-68770,,,,8908000,,-53570,,,1355095,730000,,,,,,,,,,11599035,18959345,,,-364000,,,47999125,1087395,,,,,,-685,,,,,,,,,10851445,,,-515,,,,,,24157620,,,,,,4807340,,43942770,,,,15781340,4475170,24611680,,20861625,,,55918430,,,
2021-02-03,-8900,,22010675,,,-7085,-915,-287,448740,,-1692,,-23400,-28360,-1030,-6150,-10900,-6235,-7260,-2000,2564090,-7425,-6110,-2337615,,2538960,-13640,-2445,,-1810,,-778825,,-2830,-9915,,,-840,,4086320,22082055,-2800,-1235,1844950,-615,-361,-19070,,-2730,-14725,5027240,-29680,,-52290,,-6376735,,-16440,-10020,-9300,,,-7725,-3528,-4605,,-4280,-57120,288486,-149490,-954,,,640215,,-18490,-250436,-14470,18911310,-22470,,,-5400,-122216,-21463201,2189800,-21085,-20405,-29250,-4950,12590595,-4680,-16800,-1297,-3420,,,-480,-1865,-41595,-1234170,10945235,-767045,-41710,-2152,,-11850,5569195,-210,8004365,,-11575,-6805,-2590,-92395,,-6525,-6840,,-8538,,-93255,-350270,23270170,,,-18600,-10160,-40423,-3100,-20120,-9980,-881,40456115,,-1650,-16680,23338060,42049200,-6720,-2220,,-20295,8324455,-3700,-14180,-11560,8335110,,-9720,-2703620,2995970,-11960,-1680,,-39990,-855,3280450,,27930400,-1300,-28799940,-24810,-26000,-69120,-54330,,,,-3390020,-701995,-855720,-2130,,-1138375,-7699,-129470,-6600,,,,,,-2040,,698295,20056580,-1410,-2485,2223225,,,30684700,1406540,-5480,-81770,,-13575,-338,-10180,-7560,,,-19725,,,-309,,16833660,,,,-862,-39820,-1070,,,-2475600,-9490,83280,,-15440,-50540,-85740,-3230,21744570,,,-4970,9869390,44150,22123160,,57795715,-1920,,40115635,-5920,,
2021-02-04,-3975,,-8430,,,,,,47160,,,,,-2287700,,,,,,,-1468335,756480,603920,,,-3378550,280000,,,,,,,,,,,,,3514620,5453755,,,534570,,,,,,,,,,,,2055655,-157,,,-1615,,,781900,,,,,3175735,19794500,281285,,,,1123500,,,-2560,,-18311630,,,,-29050,-274386,-27275689,151200,-17250,-21450,,,11206155,,,-456,,-307,,,,-1630,210890,-9056860,,11034950,-564,,,-63632745,-229,-4860,,,,,-2645,,,-6999245,,-3093,,-3990,-4005,13387720,,,,,-9077,,,-5360,-930,13360710,,-39905,,-8894110,12498740,,,,,6891530,,,,-7714440,,,-386250,-2476200,-1585,,,,,-902230,,15050820,,-9684355,,,,-3355,,-752,,-6000300,-751,,,,-1186895,-1610,,,,,,,,,,-9326145,-3825200,,,186500,,,-26953860,-1295175,,-15300,,,,-744,,,,,,,,,5647875,,,,,,-1195,,,-10728520,,79470,,,,-24587500,,-28627650,,,,-13400350,40800,-38671300,-634,-11373015,,,16621040,,,
