date,Xây dựng và Vật liệu ,Hàng gia dụng,Kim loại,Điện,Điện tử & Thiết bị điện,Hóa chất,Nước & Khí đốt,Bia và đồ uống,Dược phẩm,Vận tải,Bảo hiểm phi nhân thọ,Sản xuất Dầu khí,Thiết bị và Phần cứng,Ô tô và phụ tùng,Thiết bị & Dịch vụ và Phân phối Dầu khí,Sản xuất thực phẩm,Khai khoáng,Công nghiệp nặng,Dịch vụ tài chính,Phần mềm & Dịch vụ Máy tính,Tư vấn & Hỗ trợ Kinh doanh,Bất động sản,Bán lẻ,Hàng công nghiệp,Lâm nghiệp và Giấy,Viễn thông cố định,Hàng cá nhân,Ngân hàng,Quỹ đầu tư,Du lịch & Giải trí,Thiết bị và Dịch vụ Y tế,Truyền thông
2021-01-22,-66473638,-60387,-27149611,637030,-36735,14191325,-636657,391090,-98560,3068242,-163790,-3700,-2610,328610,-55095,8037538,-26323,4889210,-667713,-51215,-11540,14992651,-5921180,-25595,-21600,23794960,-113910,238453665,-17262632,13005,-3390,-4080
2021-01-25,-101389340,-157000,-150158870,230800,-3050,-3483980,8678060,308280,,5463545,1290000,,,-3168560,,-513420,,18071460,3303230,,,8547115,43320470,,,-7010400,,-15479030,4815214,-1243520,,
2021-01-26,21433218,,27553580,-482125,152065,-9082785,11426875,-1234240,,3099575,-2034300,,,155695,-2050,-5234255,-3090,4600340,-5591892,,,-31679713,45262235,,,13747390,,-121156365,2992643,-2935810,,
2021-01-27,40024067,-22004,-169546053,2425032,34080,14078181,6012315,-19630,-15520,2981735,-14060,,,-597895,-1905,-5485597,-5840,2351640,-17141767,-7000,,-86306446,33859380,-1430,1540988,17461930,-18340,-244908615,9337943,2677343,-501,
2021-01-28,8076249,-1320,44194775,22776915,1810410,7064925,13636435,-856940,,2149100,489000,,,-836240,,-8826615,,1158015,15890825,,-1060,-41039593,32503975,-6550,1160000,48102540,-12410,84651115,-12249737,-3016555,,
2021-01-29,23036301,,-18313860,-171445,641760,10859515,-7461055,-1429570,-36500,14394220,-22200,,,454510,141420,29557585,-952,7520285,-780715,-6350,,69316787,128331685,-17990,-11920,21542790,-10830,68802620,-6171005,-2078129,,
2021-02-01,16101520,628000,-8553395,-19407090,861350,7351105,4316370,-2612300,,-33546220,140795,,,439780,-3480,-26733485,,-108200,-5489545,,,72056147,-1104315,-1280,,-11727290,,-76333405,-19386826,-6267160,,
2021-02-02,-2699450,,24634085,2193460,-116990,9871205,5410675,-53570,,7998745,1268750,,,1087395,173000,26749120,,8908000,34062400,,,108708535,112948380,,383040,39818750,,221047285,1339578,15774660,,
2021-02-03,-4175318,-46982,13547801,-28861825,-22535,4933910,5446602,-869700,-31180,12373385,2529535,-1680,,1395025,-69120,20966819,-18600,-3390020,20551798,-718244,-9720,65453945,109981175,-8900,-52290,18911310,-135135,219848875,-21302331,9769989,,
2021-02-04,444232,,-63637605,-9701605,-21450,-1922,-471030,,,11202166,-2622070,,,-513275,,-39815970,,-6000300,-17890854,-74055,,-28751866,41881315,-3975,,-18311630,-15300,-40204860,-9441679,-13402995,,
2021-02-05,7075850,,27476190,-438260,-15720,4825350,5517790,-36300,,16866693,-101660,,-2150,-290935,-399660,19258698,-2780,-3082760,7643255,,,19792275,-9289140,-2640,328350,3257800,-25510,54954005,-20872823,4176190,,
2021-02-08,8390284,,4660435,-3476620,,-2242250,27140720,,-12800,1115563,-1958520,,,-1634365,,-50965925,-14650,-18146840,-33470219,-136250,,-83633909,18684010,,-4361,-20446940,-5820,-151946045,-36375202,-11398360,,
